"vars";"varnames";"tipo_preg";"clase_preg";"id"
"Timestamp";"timestamp";"tiempo";"tiempo";1
"¿Cuál es tu situación laboral actual?";"cul_es_tu...l_actual";"caracter";"caracter";2
"¿Cuál de los siguientes se aproxima más a tu cargo actual? Selecciona todos los que apliquen.";"cul_de_lo...apliquen";"caracter";"caracter";3
"¿Cuál de las siguientes actividades realizas en tu trabajo? Selecciona todas las que apliquen.";"cul_de_la...apliquen";"caracter";"caracter";4
"¿Qué porcentaje de tu tiempo laboral dedicas específicamente al análisis y visualización de datos, creación de modelos o actividades relacionadas con datos (data cleaning, investigación, etc)?";"qu_porcen...acin_etc";"caracter";"caracter";5
"Aproximadamente, ¿cuántos empleados tiene la empresa u organización donde trabajas?";"aproximad...trabajas";"caracter";"caracter";6
"¿En qué tipo de empresa u organización trabajas?";"en_qu_tip...trabajas";"caracter";"caracter";7
"¿Cuál es la principal industria o sector al que pertenece la empresa u organización donde trabajas? (Opcional)";"cul_es_la...opcional";"caracter";"caracter";8
"¿Cuál es el monto de tu salario MENSUAL en PESOS COLOMBIANOS (COP)?";"cul_es_el...anos_cop";"caracter";"caracter";9
"¿Qué tan seguido trabajas remotamente?";"qu_tan_se...otamente";"caracter";"caracter";10
"¿Cuántos años TOTALES de experiencia laboral tienes en cargos relacionados con TECNOLOGÍA?";"cuntos_ao...ecnologa";"caracter";"caracter";11
"¿Cuántos años de experiencia laboral tienes en trabajos ESPECÍFICAMENTE relacionados con DATOS (Machine Learning, Data Science o Analytics)?";"cuntos_ao...nalytics";"caracter";"caracter";12
"¿Cuál es el mayor nivel de educación formal que has completado?";"cul_es_el...mpletado";"caracter";"caracter";13
"¿Cómo has aprendido Machine Learning, Data Science y/o Analytics? Selecciona todos los que apliquen.";"cmo_has_a...apliquen";"caracter";"caracter";14
"¿Cuánto tiempo pasó desde que iniciaste la búsqueda (de tu trabajo) hasta que empezaste tu trabajo actual? (Opcional)";"cunto_tie...opcional";"caracter";"caracter";15
